Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,23.500000,24.490000,22.770000,23.230000,16.976500,9544200
2017-01-01,23.350000,25.160000,23.150000,24.680000,18.340012,6080500
2017-02-01,24.700001,26.299999,24.500000,25.219999,18.741285,4836600
2017-03-01,25.320000,26.430000,25.270000,26.059999,19.365501,6067100
2017-04-01,26.010000,26.139999,24.049999,24.879999,18.767786,6032000
2017-05-01,24.940001,25.959999,24.690001,25.360001,19.129869,4422100
2017-06-01,25.389999,25.610001,24.200001,24.320000,18.345360,4309500
2017-07-01,24.309999,25.389999,23.809999,24.610001,18.859747,3666700
2017-08-01,24.700001,26.280001,24.420000,26.260000,20.124216,4803600
2017-09-01,26.350000,26.510000,24.660000,24.670000,18.905725,5690500
2017-10-01,24.650000,25.590000,23.719999,24.430000,19.035940,5194100
2017-11-01,24.799999,25.059999,23.260000,24.370001,18.989183,6237100
2017-12-01,24.340000,25.120001,23.370001,24.490000,19.082691,5418600
2018-01-01,24.520000,24.580000,23.059999,23.320000,18.483181,4610100
2018-02-01,23.309999,24.379999,22.150000,23.700001,18.784369,4992600
2018-03-01,24.000000,25.139999,23.530001,24.240000,19.212364,4398900
2018-04-01,24.270000,25.080000,23.420000,24.379999,19.659010,3290700
2018-05-01,24.389999,25.930000,24.209999,25.010000,20.167013,4166800
2018-06-01,24.990000,26.000000,24.790001,25.230000,20.344412,3682600
2018-07-01,25.190001,26.469999,25.120001,26.420000,21.661728,3221200
2018-08-01,26.500000,27.840000,26.280001,27.360001,22.432432,4508500
2018-09-01,27.320000,29.450001,26.990000,28.510000,23.375317,7195200
2018-10-01,28.590000,29.790001,26.760000,27.320000,22.753708,9470800
2018-11-01,27.670000,27.780001,25.809999,27.280001,22.720396,7926300
2018-12-01,27.420000,28.820000,25.330000,26.590000,22.145718,8058800
2019-01-01,26.549999,29.350000,26.219999,28.760000,24.363195,6743100
2019-02-01,28.730000,30.420000,28.730000,30.209999,25.591522,5092000
2019-03-01,30.219999,32.439999,29.969999,31.299999,26.514883,6157900
2019-04-01,31.379999,32.240002,29.969999,30.200001,25.948969,5030600
2019-05-01,30.200001,30.490000,29.600000,30.309999,26.043482,7104100
2019-06-01,30.480000,31.440001,29.709999,30.150000,25.906002,7429200
2019-07-01,30.240000,31.030001,29.580000,29.620001,25.831154,5684400
2019-08-01,29.680000,31.180000,29.309999,30.530001,26.624748,5823200
2019-09-01,30.450001,31.430000,29.889999,30.680000,26.755564,6709400
2019-10-01,30.680000,31.680000,30.129999,31.570000,27.965288,6079000
2019-11-01,31.639999,33.380001,31.260000,33.299999,29.497753,7337600
2019-12-01,33.369999,35.090000,33.250000,34.389999,30.463293,7929100
2020-01-01,34.410000,36.400002,33.900002,36.209999,32.520466,5870900
2020-02-01,36.230000,38.880001,32.959999,33.549999,30.131495,7489600
2020-03-01,33.439999,37.599998,20.230000,27.150000,24.383610,18421000
2020-04-01,26.129999,28.809999,23.240000,26.940001,24.656235,11383700
2020-05-01,26.500000,27.240000,23.719999,26.730000,24.464035,9321400
2020-06-01,26.590000,29.920000,26.129999,27.980000,25.608068,8778300
2020-07-01,28.280001,28.889999,26.570000,28.330000,26.400898,6320600
2020-08-01,28.709999,30.280001,28.410000,28.620001,26.671152,5947500
2020-09-01,28.650000,30.219999,28.139999,29.389999,27.388718,9381700
2020-10-01,29.600000,31.049999,29.129999,29.360001,27.833246,6158700
2020-11-01,29.350000,33.450001,29.350000,33.240002,31.511480,6131100
2020-12-01,33.480000,36.470001,32.709999,34.980000,33.160995,7895400
2021-01-01,34.930000,38.340000,34.580002,36.480000,35.082500,7838000
2021-02-01,36.619999,38.099998,34.029999,34.310001,32.995636,6793600
2021-03-01,34.689999,37.049999,33.310001,36.400002,35.005569,8241700
2021-04-01,36.380001,39.580002,36.220001,39.189999,38.220917,4573400
2021-05-01,39.459999,40.400002,37.820000,38.439999,37.489464,7789500
2021-06-01,38.450001,42.279999,38.139999,40.950001,39.937397,8947300
2021-07-01,40.910000,42.369999,39.990002,42.299999,41.767971,4919500
2021-08-01,42.270000,43.689999,41.599998,43.389999,42.844261,3820000
2021-09-01,43.430000,45.040001,42.029999,42.709999,42.172813,4634200
2021-10-01,42.650002,45.049999,40.070000,40.650002,40.650002,5062400
2021-11-01,40.650002,41.470001,39.330002,39.500000,39.500000,4261400
2021-11-26,39.700001,39.779999,39.330002,39.500000,39.500000,302512
